Embedding,Accuracy,Macro F1,Weighted F1,Test Loss
TF-IDF,0.5474764704704285,0.4458045079723994,0.5293621050373958,0.9384596347808838
Skip-gram,0.5731394290924072,0.5393109106770876,0.5962288981968507,0.8535784482955933
CBOW,0.36698031425476074,0.28506954019626685,0.3385334065361861,1.084696888923645
