Model,Embedding/Features,Accuracy,F1_macro,F1_weighted
LogisticRegression,GloVe mean,0.6458511548331908,0.5548200204389578,0.6330238509126368
LogisticRegression,TF-IDF (ngrams tuned),0.6629597946963216,0.5500951472560289,0.6498147493535598
LogisticRegression,Word2Vec Skip-gram mean,0.6295979469632165,0.5135884775681105,0.6054109964809437
LogisticRegression,TF-IDF weighted avg (W2V SG),0.6295979469632165,0.5064509663891686,0.6019202182318203
LogisticRegression,Word2Vec CBOW mean,0.6056458511548332,0.4517725149830802,0.5640569386622706
LogisticRegression,Random mean embeddings,0.544054747647562,0.4125245256149115,0.5085158550099562
